#  Fi BoxesPacked MaxItr Time(s)
0.9984 1 1000 274.728
1 0 236 24.116
0.968976 3 1000 251.567
0.9936 1 755 70.9592
0.998176 1 140 69.1782
0.9904 1 131 47.1705
1 0 345 118.817
0.999552 1 1000 175.399
1 0 133 46.9713
0.999456 1 274 97.1949
0.998992 1 405 130.293
1 0 80 21.6622
1 0 1 0.251016
0.9988 1 1000 270.699
1 0 258 100.932
1 0 111 33.0248
0.9992 1 141 58.584
0.998528 2 457 165.316
1 0 285 112.739
0.992608 1 1000 255.417
1 0 479 167.5
1 0 132 26.4647
1 0 81 32.4122
1 0 637 173.982
0.99712 1 1000 269.58
1 0 627 51.0797
1 0 1 0.464777
0.9976 1 179 71.6548
1 0 39 14.9647
1 0 294 107.512
0.997424 0 1000 227.278
1 0 359 39.9095
1 0 1 0.249247
0.9992 1 871 238.195
1 0 151 63.8491
1 0 1 0.289835
0.9744 1 195 80.6783
1 0 57 27.5936
1 0 32 16.5222
1 0 373 126.808
