#  Fi BoxesPacked MaxItr Time(s)
0.962214 4 563 1350.59
0.999617 3 192 157.259
0.989806 1 119 273.349
0.99979 2 442 842.852
0.98808 2 386 954.346
0.993442 9 252 437.284
0.999915 5 520 1099.24
0.999797 6 192 257.31
0.999829 2 215 514.851
0.999863 5 240 540.958
0.999029 6 67 149.348
0.988014 1 59 142.58
0.999947 3 285 711.814
0.994852 2 508 820.651
0.999754 2 317 687.429
0.984311 1 486 706.643
0.999709 5 399 779.192
0.999297 4 1000 1547.54
0.999425 2 298 659.193
0.998422 4 261 525.6
0.963697 5 1000 3101.66
1 0 138 187.205
0.999126 3 1000 2933.03
0.997594 2 640 741.02
0.99542 2 548 1875.24
0.999196 2 849 1734.52
0.997768 3 1000 2885.76
0.995897 6 189 340.205
1 0 66 203.42
0.999561 4 302 1159.26
0.999622 3 284 694.504
0.999928 4 594 1852.82
1 0 157 545.519
0.984584 4 594 2148.81
0.995633 6 788 2333.71
0.999988 1 1000 1306.14
0.998142 1 1000 2326.83
0.999545 2 1000 2942.6
0.999221 0 610 1945.81
0.999988 1 833 2211.73
