#  Fi BoxesPacked MaxItr Time(s)
0.902709 6 1000 2372.96
0.995212 4 1000 1385.99
0.978272 6 1000 2018.77
0.993172 4 1000 1535.35
0.902649 5 1000 2237.77
0.951453 5 1000 1543.1
0.988581 2 1000 2071.48
0.995571 5 1000 1483.01
0.995212 4 1000 2108.91
0.999586 5 1000 1631.35
0.999341 5 1000 1947.74
0.987385 1 1000 1527.51
0.987983 6 1000 2187.36
0.889632 4 1000 1604.28
0.999754 2 1000 2008.45
0.956259 4 1000 1457.89
0.992945 6 1000 1879.78
0.999297 4 1000 2084.68
0.99885 4 1000 2014.97
0.986198 10 1000 1877.87
0.907599 5 1000 3215.63
0.984925 1 1000 1886.73
0.999126 3 1000 2936.3
0.989908 6 1000 2214.85
0.915298 6 1000 3023.52
0.952241 6 1000 2201.83
0.987499 8 1000 2961.74
0.995571 5 1000 2119.2
0.984925 1 1000 2696.65
0.999544 5 1000 2461.76
0.999622 3 1000 2362.39
0.999928 4 1000 2223.85
0.987983 6 1000 3007.19
0.882637 4 1000 2254.76
0.9604 1 1000 2712.31
0.988059 5 1000 1997.53
0.992972 5 1000 2210.7
0.999545 2 1000 2925.4
0.999195 3 1000 2912.13
0.978548 2 1000 2501.53
