## Problema 2 Algoritmo 1#Dimensiones_Contenedor: [50 50 50] #Cajas totales: 29 
## Inicia DFF ##
#Num_pop: 50 
#Max_itr: 500 
#Gamma: 0.004 
aptitud	 cajas_faltantes	tiempo(s) 
1.0	 0	 186.32
1.0	 0	 195.56
1.0	 0	 198.66
1.0	 0	 203.94
1.0	 0	 210.98
1.0	 0	 224.38
1.0	 0	 225.5
1.0	 0	 244.57
1.0	 0	 248.65
1.0	 0	 266.31
1.0	 0	 303.88
1.0	 0	 306.89
1.0	 0	 139.89
1.0	 0	 175.3
1.0	 0	 173.4
1.0	 0	 199.98
1.0	 0	 182.88
1.0	 0	 202.93
1.0	 0	 250.97
1.0	 0	 209.39
1.0	 0	 190.31
1.0	 0	 144.83
1.0	 0	 172.07
1.0	 0	 244.5
1.0	 0	 199.66
1.0	 0	 193.16
1.0	 0	 200.33
1.0	 0	 129.05
1.0	 0	 192.49
1.0	 0	 149.63
1.0	 0	 215.97
1.0	 0	 202.98
1.0	 0	 185.84
1.0	 0	 197.23
1.0	 0	 196.89
1.0	 0	 167.56
1.0	 0	 212.1
1.0	 0	 149.26
1.0	 0	 175.62
1.0	 0	 176.34
1.0	 0	 125.05
1.0	 0	 138.33
1.0	 0	 125.58
1.0	 0	 156.87
1.0	 0	 172.41
1.0	 0	 108.87
1.0	 0	 111.49
1.0	 0	 80.66
1.0	 0	 57.24
1.0	 0	 42.12

## Inicia AG ## 
#Num_pop: 50 
#Max_itr: 500 
#Prob_cruza: 0.85 
#Prob_seleccion: 0.75 
#Prob_mutacion: 0.2 
aptitud	 cajas_faltantes	tiempo(s) 
0.984688	 1	62.04
0.984688	 1	79.16
0.998128	 1	111.92
0.99844	 1	113.27
0.998128	 1	114.26
0.998848	 1	122.14
0.99888	 1	151.16
0.99904	 1	151.39
0.998128	 1	164.97
0.998128	 1	165.09
0.984688	 1	52.02
0.998848	 1	111.96
0.99904	 1	178.8
0.99844	 1	187.21
1.0	 0	47.75
0.984688	 1	54.08
0.998848	 1	120.58
0.998128	 1	124.0
0.998128	 1	165.32
0.997008	 2	82.28
0.998128	 1	165.7
0.99748	 2	139.84
0.998128	 1	134.81
1.0	 0	76.69
0.998848	 1	174.92
0.998128	 1	108.03
0.984688	 1	71.31
0.99904	 1	184.7
0.998848	 1	140.12
0.998848	 1	98.86
0.984688	 1	55.12
0.99904	 1	107.49
0.99844	 1	152.23
0.998848	 1	176.25
0.998848	 1	164.01
0.998848	 1	260.25
0.998128	 1	135.23
0.99844	 1	134.31
0.998128	 1	71.22
0.998848	 1	108.68
0.998848	 1	110.96
1.0	 0	128.04
0.984688	 1	105.46
0.99904	 1	122.07
0.99904	 1	109.65
0.99844	 1	130.07
0.998128	 1	58.62
0.998848	 1	96.85
0.998128	 1	76.5
0.998848	 1	132.98
